Category,Element,Source evidence,Current Ecore,Status,Confidence,Action
EClass,MAS,P1: hộp MAS; abstract=false; eSuperTypes=[],abstract=false; eSuperTypes=[],EXACT,HIGH,Giữ nguyên.
EClass,Agent,P1: hộp Agent; abstract=false; eSuperTypes=[],abstract=false; eSuperTypes=[],EXACT,HIGH,Giữ nguyên.
EClass,Workspace,P1: hộp Workspace; abstract=false; eSuperTypes=[],abstract=false; eSuperTypes=[],EXACT,HIGH,Giữ nguyên.
EClass,Artifact,P1: hộp Artifact; abstract=false; eSuperTypes=[],abstract=false; eSuperTypes=[],EXACT,HIGH,Giữ nguyên.
EClass,Port,P1: hộp Port; abstract=false; eSuperTypes=[],abstract=false; eSuperTypes=[],EXACT,HIGH,Giữ nguyên.
EClass,ObsProperty,P1: hộp ObsProperty; abstract=false; eSuperTypes=[],abstract=false; eSuperTypes=[],EXACT,HIGH,Giữ nguyên.
EClass,AbsOperation,P1: hộp AbsOperation; abstract=true; eSuperTypes=[],abstract=true; eSuperTypes=[],EXACT,HIGH,Giữ nguyên.
EClass,LinkedOperation,P1: hộp LinkedOperation; abstract=false; eSuperTypes=AbsOperation,abstract=false; eSuperTypes=AbsOperation,EXACT,HIGH,Giữ nguyên.
EClass,InternalOperation,P1: hộp InternalOperation; abstract=false; eSuperTypes=AbsOperation,abstract=false; eSuperTypes=AbsOperation,EXACT,HIGH,Giữ nguyên.
EClass,GuardOperation,P1: hộp GuardOperation; abstract=false; eSuperTypes=AbsOperation,abstract=false; eSuperTypes=AbsOperation,EXACT,HIGH,Giữ nguyên.
EClass,Operation,P1: hộp Operation; abstract=false; eSuperTypes=AbsOperation,abstract=false; eSuperTypes=AbsOperation,EXACT,HIGH,Giữ nguyên.
EClass,Organisation,P1: hộp Organisation; abstract=false; eSuperTypes=[],abstract=false; eSuperTypes=[],EXACT,HIGH,Giữ nguyên.
EClass,NormativeSpecification,P1: hộp NormativeSpecification; abstract=false; eSuperTypes=[],abstract=false; eSuperTypes=[],EXACT,HIGH,Giữ nguyên.
EClass,StructuralSpecification,P1: hộp StructuralSpecification; abstract=false; eSuperTypes=[],abstract=false; eSuperTypes=[],EXACT,HIGH,Giữ nguyên.
EClass,FunctionalSpecification,P1: hộp FunctionalSpecification; abstract=false; eSuperTypes=[],abstract=false; eSuperTypes=[],EXACT,HIGH,Giữ nguyên.
EClass,Norm,P1: hộp Norm; abstract=false; eSuperTypes=Organisation,abstract=false; eSuperTypes=Organisation,EXACT,HIGH,Giữ nguyên.
EClass,Group,P1: hộp Group; abstract=false; eSuperTypes=Organisation,abstract=false; eSuperTypes=Organisation,EXACT,HIGH,Giữ nguyên.
EClass,Role,P1: hộp Role; abstract=false; eSuperTypes=Organisation,abstract=false; eSuperTypes=Organisation,EXACT,HIGH,Giữ nguyên.
EClass,Scheme,P1: hộp Scheme; abstract=false; eSuperTypes=Organisation,abstract=false; eSuperTypes=Organisation,EXACT,HIGH,Giữ nguyên.
EClass,FormationConstraints,P1: hộp FormationConstraints; abstract=false; eSuperTypes=[],abstract=false; eSuperTypes=[],EXACT,HIGH,Giữ nguyên.
EClass,Link,P1: hộp Link; abstract=false; eSuperTypes=[],abstract=false; eSuperTypes=[],EXACT,HIGH,Giữ nguyên.
EClass,Mission,P1: hộp Mission; abstract=false; eSuperTypes=[],abstract=false; eSuperTypes=[],EXACT,HIGH,Giữ nguyên.
EClass,OPlan,P1: hộp OPlan; abstract=false; eSuperTypes=[],abstract=false; eSuperTypes=[],EXACT,HIGH,Giữ nguyên.
EClass,OGoal,P1: hộp OGoal; abstract=false; eSuperTypes=[],abstract=false; eSuperTypes=[],EXACT,HIGH,Giữ nguyên.
EClass,Belief,P1: hộp Belief; abstract=false; eSuperTypes=[],abstract=false; eSuperTypes=[],EXACT,HIGH,Giữ nguyên.
EClass,Rule,P1: hộp Rule; abstract=false; eSuperTypes=[],abstract=false; eSuperTypes=[],EXACT,HIGH,Giữ nguyên.
EClass,Goal,P1: hộp Goal; abstract=false; eSuperTypes=[],abstract=false; eSuperTypes=[],EXACT,HIGH,Giữ nguyên.
EClass,Plan,P1: hộp Plan; abstract=false; eSuperTypes=[],abstract=false; eSuperTypes=[],EXACT,HIGH,Giữ nguyên.
EClass,Body,P1: hộp Body; abstract=false; eSuperTypes=[],abstract=false; eSuperTypes=[],EXACT,HIGH,Giữ nguyên.
EClass,Context,P1: hộp Context; abstract=false; eSuperTypes=[],abstract=false; eSuperTypes=[],EXACT,HIGH,Giữ nguyên.
EClass,BodyTerm,P1: hộp BodyTerm; abstract=true; eSuperTypes=[],abstract=true; eSuperTypes=[],EXACT,HIGH,Giữ nguyên.
EClass,Action,P1: hộp Action; abstract=true; eSuperTypes=BodyTerm,abstract=true; eSuperTypes=BodyTerm,EXACT,HIGH,Giữ nguyên.
EClass,ExternalAction,P1: hộp ExternalAction; abstract=false; eSuperTypes=Action,abstract=false; eSuperTypes=Action,EXACT,HIGH,Giữ nguyên.
EClass,InternalAction,P1: hộp InternalAction; abstract=false; eSuperTypes=Action,abstract=false; eSuperTypes=Action,EXACT,HIGH,Giữ nguyên.
EClass,TriggeringEvent,P1: hộp TriggeringEvent; abstract=false; eSuperTypes=Action,abstract=false; eSuperTypes=Action,EXACT,HIGH,Giữ nguyên.
EClass,MentalNotes,P1: hộp MentalNotes; abstract=false; eSuperTypes=BodyTerm,abstract=false; eSuperTypes=BodyTerm,EXACT,HIGH,Giữ nguyên.
EClass,Message,P1: hộp Message; abstract=false; eSuperTypes=InternalAction,abstract=false; eSuperTypes=InternalAction,EXACT,HIGH,Giữ nguyên.
EAttribute,MAS.Name,P1: MAS.Name : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,MAS.PlatformParamters,P1: MAS.PlatformParamters : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Agent.Name,P1: Agent.Name : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Workspace.Name,P1: Workspace.Name : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Workspace.Path,P1: Workspace.Path : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Workspace.Host,P1: Workspace.Host : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Artifact.artifactName,P1: Artifact.artifactName : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Artifact.className,P1: Artifact.className : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Artifact.Parameter,P1: Artifact.Parameter : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
